,cpi,lvlcpi
1991M01,106.200,1.06
1991M02,104.800,1.11
1991M03,106.300,1.18
1991M04,163.500,1.93
1991M05,103.000,1.99
1991M06,101.200,2.02
1991M07,100.600,2.03
1991M08,100.500,2.04
1991M09,101.100,2.06
1991M10,103.500,2.13
1991M11,108.900,2.32
1991M12,112.100,2.60
1992M01,345.300,8.99
1992M02,138.000,12.41
1992M03,129.900,16.12
1992M04,121.700,19.62
1992M05,111.900,21.95
1992M06,119.100,26.14
1992M07,110.600,28.91
1992M08,108.600,31.40
1992M09,111.500,35.01
1992M10,122.900,43.03
1992M11,126.100,54.26
1992M12,125.200,67.93
1993M01,125.800,85.46
1993M02,124.700,106.57
1993M03,120.100,127.99
1993M04,118.700,151.93
1993M05,118.100,179.42
1993M06,119.900,215.13
1993M07,122.390,263.30
1993M08,126.000,331.76
1993M09,123.000,408.06
1993M10,119.500,487.63
1993M11,116.390,567.55
1993M12,112.500,638.50
1994M01,117.900,752.79
1994M02,110.820,834.24
1994M03,107.410,896.06
1994M04,108.490,972.13
1994M05,106.910,1039.31
1994M06,106.000,1101.67
1994M07,105.330,1160.39
1994M08,104.620,1214.00
1994M09,107.960,1310.63
1994M10,115.000,1507.22
1994M11,114.610,1727.43
1994M12,116.440,2011.42
1995M01,117.770,2368.85
1995M02,111.020,2629.89
1995M03,108.940,2865.01
1995M04,108.470,3107.67
1995M05,107.930,3354.11
1995M06,106.660,3577.49
1995M07,105.380,3769.96
1995M08,104.560,3941.87
1995M09,104.460,4117.68
1995M10,104.720,4312.04
1995M11,104.560,4508.67
1995M12,103.200,4652.94
1996M01,104.110,4844.18
1996M02,102.790,4979.33
1996M03,102.800,5118.75
1996M04,102.160,5229.32
1996M05,101.600,5312.99
1996M06,101.170,5375.15
1996M07,100.720,5413.85
1996M08,99.790,5402.48
1996M09,100.330,5420.31
1996M10,101.200,5485.35
1996M11,101.880,5588.48
1996M12,101.420,5667.83
1997M01,102.340,5800.46
1997M02,101.540,5889.79
1997M03,101.430,5974.01
1997M04,100.960,6031.36
1997M05,100.940,6088.06
1997M06,101.100,6155.03
1997M07,100.930,6212.27
1997M08,99.860,6203.57
1997M09,99.700,6184.96
1997M10,100.170,6195.47
1997M11,100.610,6233.27
1997M12,100.960,6293.11
1998M01,101.510,6388.13
1998M02,100.890,6444.99
1998M03,100.640,6486.23
1998M04,100.380,6510.88
1998M05,100.500,6543.44
1998M06,100.080,6548.67
1998M07,100.170,6559.80
1998M08,103.670,6800.55
1998M09,138.430,9414.00
1998M10,104.540,9841.39
1998M11,105.670,10399.40
1998M12,111.610,11606.77
1999M01,108.380,12579.42
1999M02,104.130,13098.95
1999M03,102.790,13464.41
1999M04,103.030,13872.38
1999M05,102.220,14180.35
1999M06,101.910,14451.19
1999M07,102.820,14858.72
1999M08,101.160,15031.08
1999M09,101.480,15253.54
1999M10,101.370,15462.51
1999M11,101.230,15652.70
1999M12,101.260,15849.92
2000M01,102.330,16219.23
2000M02,101.040,16387.91
2000M03,100.640,16492.79
2000M04,100.890,16639.58
2000M05,101.750,16930.77
2000M06,102.550,17362.50
2000M07,101.790,17673.29
2000M08,100.980,17846.49
2000M09,101.320,18082.06
2000M10,102.110,18463.60
2000M11,101.520,18744.24
2000M12,101.640,19051.65
2001M01,102.760,19577.47
2001M02,102.280,20023.84
2001M03,101.860,20396.28
2001M04,101.790,20761.38
2001M05,101.780,21130.93
2001M06,101.620,21473.25
2001M07,100.450,21569.88
2001M08,100.010,21572.04
2001M09,100.600,21701.47
2001M10,101.090,21938.02
2001M11,101.360,22236.37
2001M12,101.600,22592.15
2002M01,103.090,23290.25
2002M02,101.160,23560.42
2002M03,101.080,23814.87
2002M04,101.160,24091.12
2002M05,101.690,24498.26
2002M06,100.530,24628.10
2002M07,100.720,24805.43
2002M08,100.090,24827.75
2002M09,100.400,24927.06
2002M10,101.070,25193.78
2002M11,101.610,25599.40
2002M12,101.540,25993.63
2003M01,102.400,26617.48
2003M02,101.630,27051.35
2003M03,101.050,27335.38
2003M04,101.020,27614.21
2003M05,100.800,27835.12
2003M06,100.800,28057.80
2003M07,100.710,28257.01
2003M08,99.590,28141.16
2003M09,100.340,28236.84
2003M10,101.000,28519.21
2003M11,100.960,28792.99
2003M12,101.100,29109.71
2004M01,101.750,29619.13
2004M02,100.990,29912.36
2004M03,100.750,30136.70
2004M04,100.990,30435.06
2004M05,100.740,30660.28
2004M06,100.780,30899.43
2004M07,100.920,31183.70
2004M08,100.420,31314.67
2004M09,100.430,31449.33
2004M10,101.140,31807.85
2004M11,101.110,32160.92
2004M12,101.140,32527.55
2005M01,102.620,33379.77
2005M02,101.230,33790.34
2005M03,101.340,34243.13
2005M04,101.120,34626.66
2005M05,100.800,34903.67
2005M06,100.640,35127.05
2005M07,100.460,35288.64
2005M08,99.860,35239.23
2005M09,100.250,35327.33
2005M10,100.550,35521.63
2005M11,100.740,35784.49
2005M12,100.820,36077.93
2006M01,102.430,36954.62
2006M02,101.660,37568.07
2006M03,100.820,37876.12
2006M04,100.350,38008.69
2006M05,100.480,38191.13
2006M06,100.280,38298.07
2006M07,100.670,38554.66
2006M08,100.190,38627.92
2006M09,100.090,38662.68
2006M10,100.280,38770.94
2006M11,100.630,39015.20
2006M12,100.790,39323.42
2007M01,101.680,39984.05
2007M02,101.110,40427.87
2007M03,100.590,40666.40
2007M04,100.570,40898.20
2007M05,100.630,41155.85
2007M06,100.950,41546.83
2007M07,100.870,41908.29
2007M08,100.090,41946.01
2007M09,100.790,42277.38
2007M10,101.640,42970.73
2007M11,101.230,43499.27
2007M12,101.130,43990.81
2008M01,102.310,45007.00
2008M02,101.200,45547.09
2008M03,101.200,46093.65
2008M04,101.420,46748.18
2008M05,101.350,47379.28
2008M06,100.970,47838.86
2008M07,100.510,48082.84
2008M08,100.360,48255.94
2008M09,100.800,48641.98
2008M10,100.910,49084.63
2008M11,100.830,49492.03
2008M12,100.690,49833.52
2009M01,102.370,51014.58
2009M02,101.650,51856.32
2009M03,101.310,52535.64
2009M04,100.690,52898.13
2009M05,100.570,53199.65
2009M06,100.600,53518.85
2009M07,100.630,53856.02
2009M08,100.000,53856.02
2009M09,99.970,53839.86
2009M10,100.000,53839.86
2009M11,100.290,53996.00
2009M12,100.410,54217.38
2010M01,101.640,55106.55
2010M02,100.860,55580.46
2010M03,100.630,55930.62
2010M04,100.290,56092.82
2010M05,100.500,56373.28
2010M06,100.390,56593.14
2010M07,100.360,56796.87
2010M08,100.550,57109.26
2010M09,100.840,57588.97
2010M10,100.500,57876.92
2010M11,100.810,58345.72
2010M12,101.080,58975.86
2011M01,102.370,60373.58
2011M02,100.780,60844.50
2011M03,100.620,61221.73
2011M04,100.430,61484.99
2011M05,100.480,61780.11
2011M06,100.230,61922.21
2011M07,99.990,61916.02
2011M08,99.760,61767.42
2011M09,99.960,61742.71
2011M10,100.480,62039.08
2011M11,100.420,62299.64
2011M12,100.440,62573.76
2012M01,100.500,62886.63
2012M02,100.370,63119.31
2012M03,100.580,63485.40
2012M04,100.310,63682.20
2012M05,100.520,64013.35
2012M06,100.890,64583.07
2012M07,101.230,65377.44
2012M08,100.100,65442.82
2012M09,100.550,65802.76
2012M10,100.460,66105.45
2012M11,100.340,66330.21
2012M12,100.540,66688.39
2013M01,100.970,67335.27
2013M02,100.560,67712.34
2013M03,100.340,67942.57
2013M04,100.510,68289.07
2013M05,100.660,68739.78
2013M06,100.420,69028.49
2013M07,100.820,69594.52
2013M08,100.140,69691.95
2013M09,100.210,69838.31
2013M10,100.570,70236.39
2013M11,100.560,70629.71
2013M12,100.510,70989.92
2014M01,100.590,71408.76
2014M02,100.700,71908.62
2014M03,101.020,72642.09
2014M04,100.900,73295.87
2014M05,100.900,73955.53
2014M06,100.620,74414.06
2014M07,100.490,74778.69
2014M08,100.240,74958.15
2014M09,100.650,75445.38
2014M10,100.820,76064.03
2014M11,101.280,77037.65
2014M12,102.620,79056.04
2015M01,103.850,82099.70
2015M02,102.220,83922.31
2015M03,101.210,84937.77
2015M04,100.460,85328.49
2015M05,100.350,85627.14
2015M06,100.190,85789.83
2015M07,100.800,86476.15
2015M08,100.350,86778.81
2015M09,100.570,87273.45
2015M10,100.740,87919.27
2015M11,100.750,88578.67
2015M12,100.770,89260.73
2016M01,100.960,90117.63
2016M02,100.630,90685.37
2016M03,100.460,91102.52
2016M04,100.440,91503.37
2016M05,100.410,91878.54
2016M06,100.360,92209.30
2016M07,100.540,92707.23
2016M08,100.010,92716.50
2016M09,100.170,92874.12
2016M10,100.430,93273.48
2016M11,100.440,93683.88
2016M12,100.400,94058.62
2017M01,100.620,94641.78
2017M02,100.220,94849.99
2017M03,100.130,94973.30
2017M04,100.330,95286.71
2017M05,100.370,95639.27
2017M06,100.610,96222.67
2017M07,100.070,96290.02
2017M08,99.460,95770.06
2017M09,99.850,95626.40
2017M10,100.200,95817.66
2017M11,100.220,96028.45
2017M12,100.420,96431.77
2018M01,100.310,96730.71
2018M02,100.210,96933.85
2018M03,100.290,97214.96
2018M04,100.380,97584.37
2018M05,100.380,97955.19
2018M06,100.490,98435.17
2018M07,100.270,98700.95
2018M08,100.010,98710.82
2018M09,100.160,98868.76
2018M10,100.350,99214.80
2018M11,100.500,99710.87
2018M12,100.840,100548.44
2019M01,101.010,101563.98
2019M02,100.440,102010.86
2019M03,100.320,102337.30
2019M04,100.290,102634.08
2019M05,100.340,102983.03
2019M06,100.040,103024.22
