,cpi_us,cpi_eu
1947M01,21.480,
1947M02,21.620,
1947M03,22.000,
1947M04,22.000,
1947M05,21.950,
1947M06,22.080,
1947M07,22.230,
1947M08,22.400,
1947M09,22.840,
1947M10,22.910,
1947M11,23.060,
1947M12,23.410,
1948M01,23.680,
1948M02,23.670,
1948M03,23.500,
1948M04,23.820,
1948M05,24.010,
1948M06,24.150,
1948M07,24.400,
1948M08,24.430,
1948M09,24.360,
1948M10,24.310,
1948M11,24.160,
1948M12,24.050,
1949M01,24.010,
1949M02,23.910,
1949M03,23.910,
1949M04,23.920,
1949M05,23.910,
1949M06,23.920,
1949M07,23.700,
1949M08,23.700,
1949M09,23.750,
1949M10,23.670,
1949M11,23.700,
1949M12,23.610,
1950M01,23.510,
1950M02,23.610,
1950M03,23.640,
1950M04,23.650,
1950M05,23.770,
1950M06,23.880,
1950M07,24.070,
1950M08,24.200,
1950M09,24.340,
1950M10,24.500,
1950M11,24.600,
1950M12,24.980,
1951M01,25.380,
1951M02,25.830,
1951M03,25.880,
1951M04,25.920,
1951M05,25.990,
1951M06,25.930,
1951M07,25.910,
1951M08,25.860,
1951M09,26.030,
1951M10,26.160,
1951M11,26.320,
1951M12,26.470,
1952M01,26.450,
1952M02,26.410,
1952M03,26.390,
1952M04,26.460,
1952M05,26.470,
1952M06,26.530,
1952M07,26.680,
1952M08,26.690,
1952M09,26.630,
1952M10,26.690,
1952M11,26.690,
1952M12,26.710,
1953M01,26.640,
1953M02,26.590,
1953M03,26.630,
1953M04,26.690,
1953M05,26.700,
1953M06,26.770,
1953M07,26.790,
1953M08,26.850,
1953M09,26.890,
1953M10,26.950,
1953M11,26.850,
1953M12,26.870,
1954M01,26.940,
1954M02,26.990,
1954M03,26.930,
1954M04,26.860,
1954M05,26.930,
1954M06,26.940,
1954M07,26.860,
1954M08,26.850,
1954M09,26.810,
1954M10,26.720,
1954M11,26.780,
1954M12,26.770,
1955M01,26.770,
1955M02,26.820,
1955M03,26.790,
1955M04,26.790,
1955M05,26.770,
1955M06,26.710,
1955M07,26.760,
1955M08,26.720,
1955M09,26.850,
1955M10,26.820,
1955M11,26.880,
1955M12,26.870,
1956M01,26.830,
1956M02,26.860,
1956M03,26.890,
1956M04,26.930,
1956M05,27.030,
1956M06,27.150,
1956M07,27.290,
1956M08,27.310,
1956M09,27.350,
1956M10,27.510,
1956M11,27.510,
1956M12,27.630,
1957M01,27.670,
1957M02,27.800,
1957M03,27.860,
1957M04,27.930,
1957M05,28.000,
1957M06,28.110,
1957M07,28.190,
1957M08,28.280,
1957M09,28.320,
