,usdrub
1997M07,5.787
1997M08,5.812
1997M09,5.847
1997M10,5.875
1997M11,5.903
1997M12,5.941
1998M01,5.997
1998M02,6.051
1998M03,6.090
1998M04,6.124
1998M05,6.149
1998M06,6.180
1998M07,6.216
1998M08,6.752
1998M09,14.408
1998M10,15.909
1998M11,16.474
1998M12,19.993
1999M01,22.285
1999M02,22.910
1999M03,23.500
1999M04,24.729
1999M05,24.459
1999M06,24.289
1999M07,24.303
1999M08,24.710
1999M09,25.455
1999M10,25.727
1999M11,26.308
1999M12,26.795
2000M01,28.253
2000M02,28.724
2000M03,28.458
2000M04,28.595
2000M05,28.306
2000M06,28.241
2000M07,27.846
2000M08,27.738
2000M09,27.799
2000M10,27.870
2000M11,27.807
2000M12,27.980
2001M01,28.367
2001M02,28.594
2001M03,28.678
2001M04,28.850
2001M05,29.028
2001M06,29.115
2001M07,29.223
2001M08,29.343
2001M09,29.430
2001M10,29.538
2001M11,29.797
2001M12,30.100
2002M01,30.473
2002M02,30.806
2002M03,31.064
2002M04,31.174
2002M05,31.255
2002M06,31.405
2002M07,31.515
2002M08,31.554
2002M09,31.627
2002M10,31.693
2002M11,31.811
2002M12,31.837
2003M01,31.816
2003M02,31.699
2003M03,31.453
2003M04,31.212
2003M05,30.907
2003M06,30.469
2003M07,30.360
2003M08,30.349
2003M09,30.599
2003M10,30.165
2003M11,29.808
2003M12,29.434
2004M01,28.839
2004M02,28.515
2004M03,28.529
2004M04,28.686
2004M05,28.989
2004M06,29.030
2004M07,29.082
2004M08,29.219
2004M09,29.222
2004M10,29.070
2004M11,28.591
2004M12,27.904
2005M01,28.009
2005M02,27.995
2005M03,27.626
2005M04,27.810
2005M05,27.951
2005M06,28.498
2005M07,28.694
2005M08,28.480
2005M09,28.380
2005M10,28.563
2005M11,28.763
2005M12,28.805
2006M01,28.228
2006M02,28.195
2006M03,27.874
2006M04,27.564
2006M05,27.053
2006M06,26.983
2006M07,26.916
2006M08,26.762
2006M09,26.746
2006M10,26.867
2006M11,26.617
2006M12,26.288
2007M01,26.529
2007M02,26.343
2007M03,26.106
2007M04,25.838
2007M05,25.824
2007M06,25.909
2007M07,25.541
2007M08,25.624
2007M09,25.334
2007M10,24.896
2007M11,24.465
2007M12,24.575
2008M01,24.500
2008M02,24.527
2008M03,23.760
2008M04,23.513
2008M05,23.720
2008M06,23.643
2008M07,23.348
2008M08,24.153
2008M09,25.270
2008M10,26.356
2008M11,27.334
2008M12,28.151
2009M01,32.492
2009M02,35.814
2009M03,34.658
2009M04,33.583
2009M05,31.995
2009M06,31.058
2009M07,31.508
2009M08,31.650
2009M09,30.857
2009M10,29.464
2009M11,28.903
2009M12,29.959
2010M01,29.839
2010M02,30.158
2010M03,29.559
2010M04,29.193
2010M05,30.435
2010M06,31.174
2010M07,30.679
2010M08,30.351
2010M09,30.812
2010M10,30.323
2010M11,30.987
2010M12,30.858
2011M01,29.992
2011M02,29.321
2011M03,28.464
2011M04,28.084
2011M05,27.934
2011M06,27.987
2011M07,27.912
2011M08,28.746
2011M09,30.572
2011M10,31.388
2011M11,30.823
2011M12,31.491
2012M01,31.238
2012M02,29.885
2012M03,29.332
2012M04,29.491
2012M05,30.804
2012M06,32.878
2012M07,32.525
2012M08,31.957
2012M09,31.518
2012M10,31.116
2012M11,31.399
2012M12,30.737
2013M01,30.227
2013M02,30.163
2013M03,30.800
2013M04,31.350
2013M05,31.306
2013M06,32.307
2013M07,32.741
2013M08,33.025
2013M09,32.602
2013M10,32.099
2013M11,32.694
2013M12,32.881
2014M01,33.784
2014M02,35.244
2014M03,36.199
2014M04,35.668
2014M05,34.834
2014M06,34.450
2014M07,34.635
2014M08,36.098
2014M09,37.902
2014M10,40.799
2014M11,46.217
2014M12,55.770
2015M01,65.153
2015M02,64.518
2015M03,60.363
2015M04,53.219
2015M05,50.468
2015M06,54.449
2015M07,57.180
2015M08,65.423
2015M09,66.783
2015M10,63.246
2015M11,65.030
2015M12,69.705
2016M01,77.934
2016M02,77.328
2016M03,70.418
2016M04,66.683
2016M05,65.839
2016M06,65.219
2016M07,64.338
2016M08,64.937
2016M09,64.557
2016M10,62.620
2016M11,64.314
2016M12,62.091
2017M01,59.630
2017M02,58.539
2017M03,58.007
2017M04,56.436
2017M05,56.950
2017M06,57.893
2017M07,59.693
2017M08,59.613
2017M09,57.745
2017M10,57.698
2017M11,58.927
2017M12,58.574
2018M01,56.498
2018M02,56.807
2018M03,57.064
2018M04,60.770
2018M05,62.231
2018M06,62.769
2018M07,62.862
2018M08,66.076
2018M09,67.666
2018M10,65.855
2018M11,66.356
2018M12,67.335
2019M01,66.513
2019M02,65.811
2019M03,65.092
2019M04,64.603
2019M05,64.819
2019M06,64.169
2019M07,63.292
