,yp08,yp11,yp16,gdp
3/1/2003,7119.665751,,,14052.23657
6/1/2003,7199.081104,,,14208.98035
9/1/2003,7320.613629,,,14448.85169
12/1/2003,7454.128355,,,14712.37256
3/1/2004,7594.166599,,,14988.76904
6/1/2004,7740.520166,,,15277.6302
9/1/2004,7857.753068,,,15509.01529
12/1/2004,7945.616167,,,15682.43257
3/1/2005,8084.512058,,,15956.57436
6/1/2005,8207.582194,,,16199.48052
9/1/2005,8352.216614,,,16484.94857
12/1/2005,8524.509518,,,16825.00676
3/1/2006,8689.084143,,,17149.83121
6/1/2006,8856.358045,,,17479.98329
9/1/2006,9059.711465,,,17881.34629
12/1/2006,9231.777176,,,18220.95606
3/1/2007,9399.209389,,,18551.4206
6/1/2007,9636.426465,,,19019.62102
9/1/2007,9848.920305,,,19439.02465
12/1/2007,10163.47829,,,20059.87447
3/1/2008,10433.13283,,,20592.09741
6/1/2008,10497.98544,,,20720.09838
9/1/2008,10341.49526,,,20411.23038
12/1/2008,10005.16797,,,19747.414
3/1/2009,9652.287517,,,19050.92631
6/1/2009,9511.47408,,,18772.99982
9/1/2009,9550.511563,,,18850.04894
12/1/2009,9653.820254,,,19053.95151
3/1/2010,9860.263534,,,19461.41303
6/1/2010,9953.945805,,,19646.31573
9/1/2010,10006.05596,,,19749.16665
12/1/2010,10131.83008,,,19997.40973
3/1/2011,10214.79612,14695.17611,,20125.2067
6/1/2011,10333.68795,14911.19032,,20421.04055
9/1/2011,10489.24995,15124.18499,,20712.73911
12/1/2011,10613.74374,15297.01091,,20949.42614
3/1/2012,,15493.85183,,21219.00195
6/1/2012,,15536.75305,,21277.75566
9/1/2012,,15612.39117,,21381.34289
12/1/2012,,15591.56092,,21352.81563
3/1/2013,,15705.27849,,21508.55311
6/1/2013,,15797.13204,,21634.34757
9/1/2013,,15893.91415,,21766.89174
12/1/2013,,16010.87262,,21927.06766
3/1/2014,,16031.00544,21982.36923,21982.36923
6/1/2014,,16164.1103,22079.58362,22079.58362
9/1/2014,,16044.28971,21864.75658,21864.75658
12/1/2014,,16027.60355,21827.52393,21827.52393
3/1/2015,,15786.64802,21569.9957,21569.9957
6/1/2015,,15668.75127,21331.92084,21331.92084
9/1/2015,,15650.62422,21420.29998,21420.29998
12/1/2015,,15582.41725,21428.00378,21428.00378
3/1/2016,,15677.65799,21458.46279,21458.46279
6/1/2016,,15622.66474,21390.67367,21390.67367
9/1/2016,,15618.89895,21472.83257,21472.83257
12/1/2016,,15622.30999,21691.79547,21691.79547
3/1/2017,,,21766.98271,21766.98271
6/1/2017,,,21888.00931,21888.00931
9/1/2017,,,21945.16138,21945.16138
12/1/2017,,,21820.95137,21820.95137
3/1/2018,,,22188.71815,22188.71815
6/1/2018,,,22335.96022,22335.96022
9/1/2018,,,22394.82795,22394.82795
12/1/2018,,,22423.52484,22423.52484
3/1/2019,,,22329.45627,22329.45627
