,y_f
1/1/1947,23.254
4/1/1947,23.784
7/1/1947,23.058
10/1/1947,24.030
1/1/1948,24.139
4/1/1948,24.075
7/1/1948,24.102
10/1/1948,24.207
1/1/1949,24.455
4/1/1949,24.711
7/1/1949,25.297
10/1/1949,25.155
1/1/1950,26.017
4/1/1950,26.335
7/1/1950,26.904
10/1/1950,26.953
1/1/1951,26.986
4/1/1951,26.902
7/1/1951,27.505
10/1/1951,27.588
1/1/1952,27.727
4/1/1952,27.672
7/1/1952,27.539
10/1/1952,28.111
1/1/1953,28.353
4/1/1953,28.422
7/1/1953,28.544
10/1/1953,28.449
1/1/1954,28.509
4/1/1954,28.710
7/1/1954,29.228
10/1/1954,29.554
1/1/1955,30.133
4/1/1955,30.238
7/1/1955,30.351
10/1/1955,30.239
1/1/1956,29.877
4/1/1956,30.023
7/1/1956,30.017
10/1/1956,30.339
1/1/1957,30.688
4/1/1957,30.566
7/1/1957,30.998
10/1/1957,31.106
1/1/1958,30.685
4/1/1958,31.268
7/1/1958,31.855
10/1/1958,32.396
1/1/1959,32.435
4/1/1959,32.747
7/1/1959,32.791
10/1/1959,32.688
1/1/1960,33.450
4/1/1960,32.931
7/1/1960,33.130
10/1/1960,32.694
1/1/1961,33.116
4/1/1961,33.988
7/1/1961,34.566
10/1/1961,34.857
1/1/1962,35.431
4/1/1962,35.288
7/1/1962,35.877
10/1/1962,36.149
1/1/1963,36.255
4/1/1963,36.528
7/1/1963,37.428
10/1/1963,37.400
1/1/1964,37.686
4/1/1964,37.896
7/1/1964,38.287
10/1/1964,37.919
1/1/1965,38.458
4/1/1965,38.636
7/1/1965,39.426
10/1/1965,40.110
1/1/1966,40.653
4/1/1966,40.370
7/1/1966,40.504
10/1/1966,40.760
1/1/1967,41.086
4/1/1967,41.242
7/1/1967,41.455
10/1/1967,41.574
1/1/1968,42.505
4/1/1968,42.900
7/1/1968,42.921
10/1/1968,42.817
1/1/1969,43.161
4/1/1969,42.808
7/1/1969,42.857
10/1/1969,42.651
1/1/1970,42.788
4/1/1970,43.421
7/1/1970,44.109
10/1/1970,43.708
1/1/1971,44.997
4/1/1971,45.129
7/1/1971,45.559
10/1/1971,45.164
1/1/1972,45.871
4/1/1972,46.776
7/1/1972,47.047
10/1/1972,47.447
1/1/1973,48.520
4/1/1973,48.537
7/1/1973,48.080
10/1/1973,47.781
1/1/1974,47.675
4/1/1974,47.534
7/1/1974,47.050
10/1/1974,47.482
1/1/1975,47.858
4/1/1975,48.625
7/1/1975,49.218
10/1/1975,49.263
1/1/1976,49.992
4/1/1976,50.462
7/1/1976,50.585
10/1/1976,50.731
1/1/1977,51.055
4/1/1977,51.259
7/1/1977,51.796
10/1/1977,51.136
1/1/1978,51.160
4/1/1978,52.169
7/1/1978,52.203
10/1/1978,52.541
1/1/1979,52.067
4/1/1979,51.971
7/1/1979,51.900
10/1/1979,51.847
1/1/1980,52.098
4/1/1980,51.566
7/1/1980,51.775
10/1/1980,52.296
1/1/1981,53.105
4/1/1981,52.420
7/1/1981,52.925
10/1/1981,52.375
1/1/1982,52.135
4/1/1982,52.141
7/1/1982,52.239
10/1/1982,52.680
1/1/1983,53.357
4/1/1983,54.510
7/1/1983,54.754
10/1/1983,55.048
1/1/1984,55.251
4/1/1984,55.580
7/1/1984,55.830
10/1/1984,55.900
1/1/1985,56.068
4/1/1985,56.245
7/1/1985,56.960
10/1/1985,57.189
1/1/1986,57.876
